,ID,Date,TMax,TMin
0,MX000017004,2010-01-01,,
1,MX000017004,2010-01-02,,
2,MX000017004,2010-01-03,,
3,MX000017004,2010-01-04,,
4,MX000017004,2010-01-05,,
5,MX000017004,2010-01-06,,
6,MX000017004,2010-01-07,,
7,MX000017004,2010-01-08,,
8,MX000017004,2010-01-09,,
9,MX000017004,2010-01-10,,
10,MX000017004,2010-01-11,,
11,MX000017004,2010-01-12,,
12,MX000017004,2010-01-13,,
13,MX000017004,2010-01-14,,
14,MX000017004,2010-01-15,,
15,MX000017004,2010-01-16,,
16,MX000017004,2010-01-17,,
17,MX000017004,2010-01-18,,
18,MX000017004,2010-01-19,,
19,MX000017004,2010-01-20,,
20,MX000017004,2010-01-21,,
21,MX000017004,2010-01-22,,
22,MX000017004,2010-01-23,,
23,MX000017004,2010-01-24,,
24,MX000017004,2010-01-25,,
25,MX000017004,2010-01-26,,
26,MX000017004,2010-01-27,,
27,MX000017004,2010-01-28,,
28,MX000017004,2010-01-29,,
29,MX000017004,2010-01-30,278.0,145.0
30,MX000017004,2010-01-31,,
31,MX000017004,2010-02-01,,
32,MX000017004,2010-02-02,273.0,144.0
33,MX000017004,2010-02-03,241.0,144.0
34,MX000017004,2010-02-04,,
35,MX000017004,2010-02-05,,
36,MX000017004,2010-02-06,,
37,MX000017004,2010-02-07,,
38,MX000017004,2010-02-08,,
39,MX000017004,2010-02-09,,
40,MX000017004,2010-02-10,,
41,MX000017004,2010-02-11,297.0,134.0
42,MX000017004,2010-02-12,,
43,MX000017004,2010-02-13,,
44,MX000017004,2010-02-14,,
45,MX000017004,2010-02-15,,
46,MX000017004,2010-02-16,,
47,MX000017004,2010-02-17,,
48,MX000017004,2010-02-18,,
49,MX000017004,2010-02-19,,
50,MX000017004,2010-02-20,,
51,MX000017004,2010-02-21,,
52,MX000017004,2010-02-22,,
53,MX000017004,2010-02-23,299.0,107.0
54,MX000017004,2010-02-24,,
55,MX000017004,2010-02-25,,
56,MX000017004,2010-02-26,,
57,MX000017004,2010-02-27,,
58,MX000017004,2010-02-28,,
59,MX000017004,2010-02-29,,
60,MX000017004,2010-02-30,,
61,MX000017004,2010-02-31,,
62,MX000017004,2010-03-01,,
63,MX000017004,2010-03-02,,
64,MX000017004,2010-03-03,,
65,MX000017004,2010-03-04,,
66,MX000017004,2010-03-05,321.0,142.0
67,MX000017004,2010-03-06,,
68,MX000017004,2010-03-07,,
69,MX000017004,2010-03-08,,
70,MX000017004,2010-03-09,,
71,MX000017004,2010-03-10,345.0,168.0
72,MX000017004,2010-03-11,,
73,MX000017004,2010-03-12,,
74,MX000017004,2010-03-13,,
75,MX000017004,2010-03-14,,
76,MX000017004,2010-03-15,,
77,MX000017004,2010-03-16,311.0,176.0
78,MX000017004,2010-03-17,,
79,MX000017004,2010-03-18,,
80,MX000017004,2010-03-19,,
81,MX000017004,2010-03-20,,
82,MX000017004,2010-03-21,,
83,MX000017004,2010-03-22,,
84,MX000017004,2010-03-23,,
85,MX000017004,2010-03-24,,
86,MX000017004,2010-03-25,,
87,MX000017004,2010-03-26,,
88,MX000017004,2010-03-27,,
89,MX000017004,2010-03-28,,
90,MX000017004,2010-03-29,,
91,MX000017004,2010-03-30,,
92,MX000017004,2010-03-31,,
93,MX000017004,2010-04-01,,
94,MX000017004,2010-04-02,,
95,MX000017004,2010-04-03,,
96,MX000017004,2010-04-04,,
97,MX000017004,2010-04-05,,
98,MX000017004,2010-04-06,,
99,MX000017004,2010-04-07,,
100,MX000017004,2010-04-08,,
101,MX000017004,2010-04-09,,
102,MX000017004,2010-04-10,,
103,MX000017004,2010-04-11,,
104,MX000017004,2010-04-12,,
105,MX000017004,2010-04-13,,
106,MX000017004,2010-04-14,,
107,MX000017004,2010-04-15,,
108,MX000017004,2010-04-16,,
109,MX000017004,2010-04-17,,
110,MX000017004,2010-04-18,,
111,MX000017004,2010-04-19,,
112,MX000017004,2010-04-20,,
113,MX000017004,2010-04-21,,
114,MX000017004,2010-04-22,,
115,MX000017004,2010-04-23,,
116,MX000017004,2010-04-24,,
117,MX000017004,2010-04-25,,
118,MX000017004,2010-04-26,,
119,MX000017004,2010-04-27,363.0,167.0
120,MX000017004,2010-04-28,,
121,MX000017004,2010-04-29,,
122,MX000017004,2010-04-30,,
123,MX000017004,2010-04-31,,
124,MX000017004,2010-05-01,,
125,MX000017004,2010-05-02,,
126,MX000017004,2010-05-03,,
127,MX000017004,2010-05-04,,
128,MX000017004,2010-05-05,,
129,MX000017004,2010-05-06,,
130,MX000017004,2010-05-07,,
131,MX000017004,2010-05-08,,
132,MX000017004,2010-05-09,,
133,MX000017004,2010-05-10,,
134,MX000017004,2010-05-11,,
135,MX000017004,2010-05-12,,
136,MX000017004,2010-05-13,,
137,MX000017004,2010-05-14,,
138,MX000017004,2010-05-15,,
139,MX000017004,2010-05-16,,
140,MX000017004,2010-05-17,,
141,MX000017004,2010-05-18,,
142,MX000017004,2010-05-19,,
143,MX000017004,2010-05-20,,
144,MX000017004,2010-05-21,,
145,MX000017004,2010-05-22,,
146,MX000017004,2010-05-23,,
147,MX000017004,2010-05-24,,
148,MX000017004,2010-05-25,,
149,MX000017004,2010-05-26,,
150,MX000017004,2010-05-27,332.0,182.0
151,MX000017004,2010-05-28,,
152,MX000017004,2010-05-29,,
153,MX000017004,2010-05-30,,
154,MX000017004,2010-05-31,,
